item_id,download_link
pyeongchang-1124,http://urisori.co.kr/sound/origin/gw/pyeongchang/pyeongchang-1124.mp3
goryeong-0302,http://urisori.co.kr/sound/origin/gb/goryeong/goryeong-0302.mp3
seongju-0134,http://urisori.co.kr/sound/origin/gb/seongju/seongju-0134.mp3
wando-0524,http://urisori.co.kr/sound/origin/jn/wando/wando-0524.mp3
geumsan-0208,http://urisori.co.kr/sound/origin/cn/geumsan/geumsan-0208.mp3
jindo-0510,http://urisori.co.kr/sound/origin/jn/jindo/jindo-0510.mp3
imsil-0502,http://urisori.co.kr/sound/origin/jb/imsil/imsil-0502.mp3
hongcheon-0308,http://urisori.co.kr/sound/origin/gw/hongcheon/hongcheon-0308.mp3
naju-0410,http://urisori.co.kr/sound/origin/jn/naju/naju-0410.mp3
gangjin-0806,http://urisori.co.kr/sound/origin/jn/gangjin/gangjin-0806.mp3
gyeongju-0105,http://urisori.co.kr/sound/origin/gb/gyeongju/gyeongju-0105.mp3
geumreung-0319,http://urisori.co.kr/sound/origin/gb/geumreung/geumreung-0319.mp3
yeongil-0510,http://urisori.co.kr/sound/origin/gb/yeongil/yeongil-0510.mp3
uljin-0706,http://urisori.co.kr/sound/origin/gb/uljin/uljin-0706.mp3
imsil-0512,http://urisori.co.kr/sound/origin/jb/imsil/imsil-0512.mp3
bukjeju-1904,http://urisori.co.kr/sound/origin/jj/bukjeju/bukjeju-1904.mp3
haman-0124,http://urisori.co.kr/sound/origin/gn/haman/haman-0124.mp3
boeun-0219,http://urisori.co.kr/sound/origin/cb/boeun/boeun-0219.mp3
bukjeju-0511,http://urisori.co.kr/sound/origin/jj/bukjeju/bukjeju-0511.mp3
yeongdeok-0212,http://urisori.co.kr/sound/origin/gb/yeongdeok/yeongdeok-0212.mp3
namjeju-0907,http://urisori.co.kr/sound/origin/jj/namjeju/namjeju-0907.mp3
inje-0511,http://urisori.co.kr/sound/origin/gw/inje/inje-0511.mp3
hamyang-0320,http://urisori.co.kr/sound/origin/gn/hamyang/hamyang-0320.mp3
daejeon-0606,http://urisori.co.kr/sound/origin/cn/daejeon/daejeon-0606.mp3
yeongwol-0511,http://urisori.co.kr/sound/origin/gw/yeongwol/yeongwol-0511.mp3
yecheon-0308,http://urisori.co.kr/sound/origin/gb/yecheon/yecheon-0308.mp3
namhae-0328,http://urisori.co.kr/sound/origin/gn/namhae/namhae-0328.mp3
yeongyang-0122,http://urisori.co.kr/sound/origin/gb/yeongyang/yeongyang-0122.mp3
seonsan-0501,http://urisori.co.kr/sound/origin/gb/seonsan/seonsan-0501.mp3
mungyeong-0302,http://urisori.co.kr/sound/origin/gb/mungyeong/mungyeong-0302.mp3
ulreung-0317,http://urisori.co.kr/sound/origin/gb/ulreung/ulreung-0317.mp3
geumsan-0902,http://urisori.co.kr/sound/origin/cn/geumsan/geumsan-0902.mp3
yeongcheon-0218,http://urisori.co.kr/sound/origin/gb/yeongcheon/yeongcheon-0218.mp3
hongseong-0125,http://urisori.co.kr/sound/origin/cn/hongseong/hongseong-0125.mp3
yecheon-0906,http://urisori.co.kr/sound/origin/gb/yecheon/yecheon-0906.mp3
yeongdeok-0503,http://urisori.co.kr/sound/origin/gb/yeongdeok/yeongdeok-0503.mp3
nonsan-0509,http://urisori.co.kr/sound/origin/cn/nonsan/nonsan-0509.mp3
yeongi-0608,http://urisori.co.kr/sound/origin/cn/yeongi/yeongi-0608.mp3
cheongsong-0522,http://urisori.co.kr/sound/origin/gb/cheongsong/cheongsong-0522.mp3
mungyeong-0442,http://urisori.co.kr/sound/origin/gb/mungyeong/mungyeong-0442.mp3
hampyeong-0431,http://urisori.co.kr/sound/origin/jn/hampyeong/hampyeong-0431.mp3
inje-0607,http://urisori.co.kr/sound/origin/gw/inje/inje-0607.mp3
dangjin-0803,http://urisori.co.kr/sound/origin/cn/dangjin/dangjin-0803.mp3
mungyeong-0446,http://urisori.co.kr/sound/origin/gb/mungyeong/mungyeong-0446.mp3
gimje-0104,http://urisori.co.kr/sound/origin/jb/gimje/gimje-0104.mp3
myeongju-0514,http://urisori.co.kr/sound/origin/gw/myeongju/myeongju-0514.mp3
gyeongsan-0315,http://urisori.co.kr/sound/origin/gb/gyeongsan/gyeongsan-0315.mp3
hampyeong-0137,http://urisori.co.kr/sound/origin/jn/hampyeong/hampyeong-0137.mp3
euiryeong-0416,http://urisori.co.kr/sound/origin/gn/euiryeong/euiryeong-0416.mp3
hapcheon-0206,http://urisori.co.kr/sound/origin/gn/hapcheon/hapcheon-0206.mp3
seonsan-0711,http://urisori.co.kr/sound/origin/gb/seonsan/seonsan-0711.mp3
yeongdeok-0517,http://urisori.co.kr/sound/origin/gb/yeongdeok/yeongdeok-0517.mp3
okgu-0425,http://urisori.co.kr/sound/origin/jb/okgu/okgu-0425.mp3
bonghwa-0701,http://urisori.co.kr/sound/origin/gb/bonghwa/bonghwa-0701.mp3
uljin-0113,http://urisori.co.kr/sound/origin/gb/uljin/uljin-0113.mp3
jangheung-0505,http://urisori.co.kr/sound/origin/jn/jangheung/jangheung-0505.mp3
hamyang-0143,http://urisori.co.kr/sound/origin/gn/hamyang/hamyang-0143.mp3
bonghwa-0514,http://urisori.co.kr/sound/origin/gb/bonghwa/bonghwa-0514.mp3
jincheon-0505,http://urisori.co.kr/sound/origin/cb/jincheon/jincheon-0505.mp3
pyeongchang-0807,http://urisori.co.kr/sound/origin/gw/pyeongchang/pyeongchang-0807.mp3
jinan-0617,http://urisori.co.kr/sound/origin/jb/jinan/jinan-0617.mp3
wando-0102,http://urisori.co.kr/sound/origin/jn/wando/wando-0102.mp3
muan-0509,http://urisori.co.kr/sound/origin/jn/muan/muan-0509.mp3
geumsan-0114,http://urisori.co.kr/sound/origin/cn/geumsan/geumsan-0114.mp3
bukjeju-1116,http://urisori.co.kr/sound/origin/jj/bukjeju/bukjeju-1116.mp3
anseong-0405,http://urisori.co.kr/sound/origin/gg/anseong/anseong-0405.mp3
milyang-1512,http://urisori.co.kr/sound/origin/gn/milyang/milyang-1512.mp3
geoje-0527,http://urisori.co.kr/sound/origin/gn/geoje/geoje-0527.mp3
imsil-0216,http://urisori.co.kr/sound/origin/jb/imsil/imsil-0216.mp3
namwon-0403,http://urisori.co.kr/sound/origin/jb/namwon/namwon-0403.mp3
danyang-0201,http://urisori.co.kr/sound/origin/cb/danyang/danyang-0201.mp3
sangju-0509,http://urisori.co.kr/sound/origin/gb/sangju/sangju-0509.mp3
cheongwon-0105,http://urisori.co.kr/sound/origin/cb/cheongwon/cheongwon-0105.mp3
muju-0601,http://urisori.co.kr/sound/origin/jb/muju/muju-0601.mp3
hongcheon-0519,http://urisori.co.kr/sound/origin/gw/hongcheon/hongcheon-0519.mp3
goheung-0126,http://urisori.co.kr/sound/origin/jn/goheung/goheung-0126.mp3
hampyeong-0430,http://urisori.co.kr/sound/origin/jn/hampyeong/hampyeong-0430.mp3
yeongam-0428,http://urisori.co.kr/sound/origin/jn/yeongam/yeongam-0428.mp3
chungmu-0102,http://urisori.co.kr/sound/origin/gn/chungmu/chungmu-0102.mp3
cheolwon-0310,http://urisori.co.kr/sound/origin/gw/cheolwon/cheolwon-0310.mp3
yangyang-1624,http://urisori.co.kr/sound/origin/gw/yangyang/yangyang-1624.mp3
jangseong-0220,http://urisori.co.kr/sound/origin/jn/jangseong/jangseong-0220.mp3
yeongil-0613,http://urisori.co.kr/sound/origin/gb/yeongil/yeongil-0613.mp3
hapcheon-0403,http://urisori.co.kr/sound/origin/gn/hapcheon/hapcheon-0403.mp3
seongju-0818,http://urisori.co.kr/sound/origin/gb/seongju/seongju-0818.mp3
mungyeong-0304,http://urisori.co.kr/sound/origin/gb/mungyeong/mungyeong-0304.mp3
gw.goseong-1109,http://urisori.co.kr/sound/origin/gw/gw.goseong/gw.goseong-1109.mp3
gimje-0314,http://urisori.co.kr/sound/origin/jb/gimje/gimje-0314.mp3
yangyang-0810,http://urisori.co.kr/sound/origin/gw/yangyang/yangyang-0810.mp3
bukjeju-0515,http://urisori.co.kr/sound/origin/jj/bukjeju/bukjeju-0515.mp3
yeongyang-0510,http://urisori.co.kr/sound/origin/gb/yeongyang/yeongyang-0510.mp3
sangju-0416,http://urisori.co.kr/sound/origin/gb/sangju/sangju-0416.mp3
naju-0306,http://urisori.co.kr/sound/origin/jn/naju/naju-0306.mp3
mungyeong-0508,http://urisori.co.kr/sound/origin/gb/mungyeong/mungyeong-0508.mp3
jangsu-0227,http://urisori.co.kr/sound/origin/jb/jangsu/jangsu-0227.mp3
hwacheon-0223,http://urisori.co.kr/sound/origin/gw/hwacheon/hwacheon-0223.mp3
goheung-0601,http://urisori.co.kr/sound/origin/jn/goheung/goheung-0601.mp3
jungwon-0508,http://urisori.co.kr/sound/origin/cb/jungwon/jungwon-0508.mp3
seonsan-0303,http://urisori.co.kr/sound/origin/gb/seonsan/seonsan-0303.mp3
namwon-0301,http://urisori.co.kr/sound/origin/jb/namwon/namwon-0301.mp3
namhae-0205,http://urisori.co.kr/sound/origin/gn/namhae/namhae-0205.mp3
cheongsong-0226,http://urisori.co.kr/sound/origin/gb/cheongsong/cheongsong-0226.mp3
yeongdeok-0142,http://urisori.co.kr/sound/origin/gb/yeongdeok/yeongdeok-0142.mp3
yeongdeok-0320,http://urisori.co.kr/sound/origin/gb/yeongdeok/yeongdeok-0320.mp3
gangjin-0723,http://urisori.co.kr/sound/origin/jn/gangjin/gangjin-0723.mp3
andong-0409,http://urisori.co.kr/sound/origin/gb/andong/andong-0409.mp3
chilgok-0459,http://urisori.co.kr/sound/origin/gb/chilgok/chilgok-0459.mp3
bukjeju-1718,http://urisori.co.kr/sound/origin/jj/bukjeju/bukjeju-1718.mp3
muju-0522,http://urisori.co.kr/sound/origin/jb/muju/muju-0522.mp3
