component,explained_variance_ratio,cumulative_variance
407,0.00059889647,0.80293524
408,0.00059579714,0.80353105
409,0.00059505535,0.8041261
410,0.0005937577,0.80471987
411,0.00059193,0.8053118
412,0.00059042685,0.80590224
413,0.0005894176,0.8064917
414,0.0005885849,0.80708027
415,0.0005863657,0.80766666
416,0.00058584084,0.8082525
417,0.00058411085,0.80883664
418,0.00058205076,0.8094187
419,0.00058053376,0.8099992
420,0.0005796202,0.8105788
421,0.0005774895,0.81115633
422,0.00057674665,0.81173307
423,0.00057472626,0.8123078
424,0.0005739104,0.8128817
425,0.00057295215,0.8134547
426,0.0005718113,0.8140265
427,0.00057108974,0.81459755
428,0.0005695989,0.8151671
429,0.0005671049,0.8157342
430,0.0005646167,0.81629884
431,0.000563429,0.8168623
432,0.00056183315,0.8174241
433,0.0005608284,0.81798494
434,0.0005598768,0.8185448
435,0.0005583872,0.8191032
436,0.0005565541,0.8196597
437,0.00055257994,0.8202123
438,0.0005507306,0.82076305
439,0.00054795935,0.821311
440,0.00054720417,0.8218582
441,0.0005448538,0.8224031
442,0.0005445667,0.8229476
443,0.0005440696,0.8234917
444,0.00054074835,0.8240324
445,0.00054008473,0.8245725
446,0.00053947227,0.825112
447,0.0005354921,0.8256475
448,0.000533848,0.8261813
449,0.00053334446,0.82671463
450,0.000531564,0.8272462
451,0.00053011166,0.8277763
452,0.00052957906,0.8283059
453,0.00052767823,0.8288336
454,0.00052426,0.82935786
455,0.00052389555,0.8298818
456,0.0005223593,0.83040416
457,0.0005205381,0.8309247
458,0.00051899964,0.83144367
459,0.0005168751,0.83196056
460,0.0005151994,0.8324758
461,0.0005132255,0.832989
462,0.0005122103,0.83350116
463,0.00051023473,0.8340114
464,0.00050819694,0.83451957
465,0.0005075408,0.8350271
466,0.00050651573,0.8355336
467,0.000504341,0.83603793
468,0.0005041199,0.83654207
469,0.0005026287,0.8370447
470,0.000502388,0.8375471
471,0.0005000289,0.83804715
472,0.00049874926,0.8385459
473,0.0004967739,0.83904266
