id	assigned_topic	topic_label	lang
goheung-0113	19	19_lullaby lullaby_lullaby_lullaby baby_baby sleeps	ko
eumseong-0528	0	0_fate_weaving_wind_song	ko
hampyeong-0602	4	4_lullaby lullaby_lullaby_lullaby worry_sleeps lullaby	ko
yecheon-0704	0	0_fate_weaving_wind_song	ko
imsil-0520	0	0_fate_weaving_wind_song	ko
sangju-0820	35	35_honzíček_monastery_maidens young_set beloved	ko
yeongdeok-0333	0	0_fate_weaving_wind_song	ko
cheongsong-0521	34	34_maids_husband home_husband_heaven	ko
bonghwa-0706	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	ko
dalseong-0531	0	0_fate_weaving_wind_song	ko
seocheon-0202	0	0_fate_weaving_wind_song	ko
gimje-0518	18	18_lullaby lullaby_lullaby_lullaby baby_sleeps lullaby	ko
yanggu-0716	0	0_fate_weaving_wind_song	ko
seungju-0203	33	33_lullaby lullaby_lullaby_lullaby baby_sleep lullaby	ko
wando-0523	0	0_fate_weaving_wind_song	ko
goheung-0408	19	19_lullaby lullaby_lullaby_lullaby baby_baby sleeps	ko
bonghwa-0614	0	0_fate_weaving_wind_song	ko
gochang-0525	0	0_fate_weaving_wind_song	ko
seongju-0629	18	18_lullaby lullaby_lullaby_lullaby baby_sleeps lullaby	ko
yeonggwang-0614	19	19_lullaby lullaby_lullaby_lullaby baby_baby sleeps	ko
gw.goseong-0516	0	0_fate_weaving_wind_song	ko
yangyang-0511	0	0_fate_weaving_wind_song	ko
geumreung-0135	0	0_fate_weaving_wind_song	ko
uljin-1002	0	0_fate_weaving_wind_song	ko
naju-0219	0	0_fate_weaving_wind_song	ko
buan-0615	0	0_fate_weaving_wind_song	ko
geumsan-0806	0	0_fate_weaving_wind_song	ko
muan-0704	19	19_lullaby lullaby_lullaby_lullaby baby_baby sleeps	ko
hampyeong-0408	35	35_honzíček_monastery_maidens young_set beloved	ko
hoengseong-0425	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	ko
jindo-0523	0	0_fate_weaving_wind_song	ko
bonghwa-0403	0	0_fate_weaving_wind_song	ko
pyeongchang-0806	0	0_fate_weaving_wind_song	ko
yeongdeok-0208	0	0_fate_weaving_wind_song	ko
sinan-1013	0	0_fate_weaving_wind_song	ko
sinan-0314	18	18_lullaby lullaby_lullaby_lullaby baby_sleeps lullaby	ko
yeongdeok-0207	24	24_lullaby baby_baby lullaby_lullaby little_lullaby	ko
samcheok-1207	0	0_fate_weaving_wind_song	ko
yecheon-0422	0	0_fate_weaving_wind_song	ko
gangjin-0601	0	0_fate_weaving_wind_song	ko
sinan-0427	19	19_lullaby lullaby_lullaby_lullaby baby_baby sleeps	ko
seungju-0304	0	0_fate_weaving_wind_song	ko
tongyeong-0413	33	33_lullaby lullaby_lullaby_lullaby baby_sleep lullaby	ko
yeongam-0224	0	0_fate_weaving_wind_song	ko
gangjin-0602	19	19_lullaby lullaby_lullaby_lullaby baby_baby sleeps	ko
samcheok-1104	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	ko
jungwon-0334	0	0_fate_weaving_wind_song	ko
haenam-0127	19	19_lullaby lullaby_lullaby_lullaby baby_baby sleeps	ko
geumreung-0433	0	0_fate_weaving_wind_song	ko
